,Id,Name,RatingDist1,pagesNumber,RatingDist4,RatingDistTotal,PublishMonth,PublishDay,Publisher,CountsOfReview,PublishYear,Language,Authors,Rating,RatingDist2,RatingDist5,ISBN,RatingDist3,Description,Count of text reviews,book_id
223734,406185,A Girl Named Zippy,1:747,283,4:12078,total:33645,3,9,Broadway Books,235,2002,eng,Haven Kimmel,3.8,2:2475,5:9350,0767915054,3:8995,,,223734
223765,406235,Giovanni's Room,1:637,224,4:18407,total:52180,1,4,Laurel,48,1988,eng,James Baldwin,4.24,2:1586,5:24591,,3:6959,,,223765
224361,407234,"Blood Brothers (Sign of Seven, #1)",1:671,314,4:15576,total:48543,27,11,Jove Books,1467,2007,eng,Nora Roberts,4.16,2:1871,5:21951,0515143804,3:8474,,,224361
224441,407390,Casablanca Companion: The Movie Classic and Its Place in History,1:3,200,4:32,total:110,18,9,Riebel-Roque Publishing Company,3,2006,eng,Richard E. Osborne,3.8,2:10,5:36,096283243X,3:29,,,224441
224469,407429,The Stinky Cheese Man and Other Fairly Stupid Tales,1:1599,52,4:25262,total:89553,1,10,Viking Books for Young Readers,2186,1992,eng,Jon Scieszka,4.2,2:3595,5:44553,067084487X,3:14544,,,224469
224639,407854,"Our Babies, Ourselves: How Biology and Culture Shape the Way We Parent",1:26,320,4:635,total:1843,4,5,Anchor,216,1999,,Meredith Small,4.18,2:77,5:831,0385483627,3:274,,,224639
224732,408036,El ocho,1:972,768,4:11517,total:33276,28,5,Ediciones B,9,2007,spa,Katherine Neville,3.91,2:2344,5:11553,8496546217,3:6890,,,224732
225231,408837,The Pleasing Hour,1:58,256,4:570,total:1802,3,10,Scribner,136,2000,,Lily King,3.36,2:231,5:213,0743201647,3:730,,,225231
225377,409093,Grendel,1:1364,174,4:10877,total:31515,26,6,Deutsch,1,1972,,John Gardner,3.69,2:3018,5:8300,0233963421,3:7956,,,225377
225384,409110,Remembrance,1:15,304,4:398,total:961,18,12,Laurel Leaf,7,2007,,Theresa Breslin,3.99,2:52,5:316,0440237785,3:180,,,225384
225672,409636,Such a Long Journey,1:89,424,4:4132,total:9458,3,11,New Canadian Library,6,1993,,Rohinton Mistry,3.96,2:387,5:2740,0771098979,3:2110,,,225672
225805,409918,"The Narrows (Harry Bosch, #10; Harry Bosch Universe, #13)",1:123,436,4:19352,total:41762,2,10,Grand Central Publishing,1329,2006,eng,Michael Connelly,4.14,2:652,5:14558,0446699543,3:7077,,,225805
225845,409995,The World Below,1:71,275,4:1642,total:4427,1,4,Bloomsbury Publishing PLC,251,2006,eng,Sue Miller,3.56,2:373,5:673,0747584583,3:1668,,,225845
225960,410200,Future Crimes,1:0,288,4:5,total:13,25,11,Ace,1,2003,,Jack Dann,3.62,2:1,5:2,0441011187,3:5,,,225960
225974,410218,Brass,1:48,298,4:238,total:790,5,5,Canongate Books,9,2005,eng,Helen Walsh,3.35,2:119,5:126,184195568X,3:259,,,225974
226088,410412,"Little Face (Spilling CID, #1)",1:441,357,4:3267,total:9974,24,8,Hodder & Stoughton,784,2006,eng,Sophie Hannah,3.43,2:1238,5:1592,0340840323,3:3436,,,226088
226101,410445,"T is for Trespass (Kinsey Millhone, #20)",1:172,387,4:10731,total:24704,4,12,G.P. Putnam's Sons,1559,2007,eng,Sue Grafton,3.95,2:771,5:6929,0399154485,3:6101,,,226101
226437,411058,Airframe,1:1409,351,4:26979,total:74601,30,6,Random House Value Publishing,1,1998,,Michael Crichton,3.7,2:6076,5:17073,0517320053,3:23064,,,226437
226521,411204,Needful Things,1:2762,690,4:70223,total:198738,1,10,Viking/Penguin,271,1991,eng,Stephen King,3.92,2:11556,5:64661,0670839531,3:49536,,,226521
226581,411321,Invisible Monsters,1:2230,297,4:43277,total:122034,17,9,W.W. Norton & Company,679,1999,eng,Chuck Palahniuk,4.01,2:6912,5:45402,0393319296,3:24213,,,226581
226653,411478,Beasts of No Nation,1:92,142,4:2105,total:4986,8,11,Harper,68,2005,,Uzodinma Iweala,3.75,2:317,5:1062,006079867X,3:1410,,,226653
226970,412095,Twins,1:30,304,4:222,total:677,17,10,Harper Perennial,57,2006,,Marcy Dermansky,3.66,2:61,5:174,0060759798,3:190,,,226970
227530,413110,"More Scary Stories to Tell in the Dark (Scary Stories, #2)",1:162,100,4:3913,total:13614,21,8,Harpercoll,481,2001,,Alvin Schwartz,4.12,2:595,5:6131,0397320825,3:2813,,,227530
227867,413729,"Tales of the City (Tales of the City, #1)",1:577,371,4:12937,total:35858,29,5,Harper Perennial,254,2007,eng,Armistead Maupin,4.03,2:1763,5:13480,0061358304,3:7101,,,227867
228032,413965,"If I Am Missing or Dead: A Sister's Story of Love, Murder, and Liberation",1:263,308,4:2021,total:6393,17,4,Simon & Schuster,920,2007,eng,Janine Latus,3.45,2:850,5:1113,0743296532,3:2146,,,228032
228215,414295,Dr. Thorne (Chronicles of Barsetshire #3),1:47,557,4:2248,total:5477,25,4,Penguin Books,277,1991,eng,Anthony Trollope,4.1,2:164,5:2019,0140433260,3:999,,,228215
228263,414382,"Crimson Joy (Spenser, #15)",1:50,292,4:1882,total:4679,2,4,Dell,150,1989,eng,Robert B. Parker,3.92,2:175,5:1355,0440203430,3:1217,,,228263
228273,414403,"A Catskill Eagle (Spenser, #12)",1:67,386,4:2415,total:6434,1,6,Dell,223,1986,en-US,Robert B. Parker,4.05,2:235,5:2342,0440111323,3:1375,,,228273
228522,414854,"Foundation and Empire (Foundation, #2)",1:623,285,4:55294,total:145650,12,9,Del Rey,32,1986,,Isaac Asimov,4.22,2:3327,5:63804,0345336283,3:22602,,,228522
228574,414982,From Russia With Love,1:2,170,4:69,total:200,1,1,Heartsong Presents,14,2001,eng,Colleen Coble,4.08,2:10,5:80,1586601644,3:39,,,228574
228782,415378,The Love Season,1:228,304,4:3964,total:11257,30,5,St. Martin's Press,654,2006,eng,Elin Hilderbrand,3.64,2:973,5:2341,0312322305,3:3751,,,228782
228831,415459,I Have No Mouth and I Must Scream,1:286,134,4:6047,total:16161,15,1,,763,1984,eng,Harlan Ellison,3.99,2:959,5:5722,0441363954,3:3147,,,228831
229052,415854,"Brightness Falls (The Calloway Trilogy, #1)",1:52,432,4:1166,total:3059,31,3,Vintage,125,1993,eng,Jay McInerney,3.75,2:209,5:713,0679745327,3:919,,,229052
229128,415997,Timbuktu,1:278,181,4:4470,total:11984,25,5,Henry Holt and Co.,34,1999,eng,Paul Auster,3.69,2:1057,5:2711,0805054073,3:3468,,,229128
229927,417549,Pamela,1:1670,592,4:1687,total:9953,12,7,"Oxford University Press, USA",590,2001,eng,Samuel Richardson,2.78,2:2516,5:1001,0192829602,3:3079,,,229927
229995,417700,Blue Blood,1:0,382,4:6,total:14,1,12,St. Martin's Press,3,1989,,Craig Unger,3.86,2:0,5:3,0312917775,3:5,,,229995
230010,417729,"Dreamsongs, Volume I",1:64,683,4:1813,total:4320,30,10,Bantam Spectra,257,2007,eng,George R.R. Martin,3.95,2:184,5:1299,0553805452,3:960,,,230010
230037,417780,Why Mosquitoes Buzz in People's Ears,1:727,32,4:7222,total:25043,15,8,Puffin Books,1196,1992,,Verna Aardema,4.03,2:1374,5:10651,0140549056,3:5069,,,230037
230723,419103,"Sin City, Vol. 3: The Big Fat Kill (Sin City, #3)",1:179,184,4:5910,total:15290,27,10,Dark Horse Books,240,2010,eng,Frank Miller,4.11,2:487,5:5959,1593072953,3:2755,,,230723
230844,419363,"The Merchants' War (The Merchant Princes, #4)",1:34,336,4:979,total:2585,16,10,Tor Books,81,2007,,Charles Stross,3.58,2:193,5:388,0765316714,3:991,,,230844
231277,420212,Alice,1:1,192,4:0,total:4,1,1,Gerald Duckworth & Company,0,1994,,John Bayley,2.0,2:2,5:0,0715626183,3:1,,,231277
231375,420404,Yertle the Turtle and Other Stories,1:508,96,4:9030,total:31904,12,4,Random House Books for Young Readers,502,1958,eng,Dr. Seuss,4.15,2:1245,5:15020,0394900871,3:6101,,,231375
232022,421549,Certain Girls (Cannie Shapiro #2),1:856,386,4:16733,total:45314,1,5,Atria Books,2655,2008,eng,Jennifer Weiner,3.72,2:3370,5:10434,0743294254,3:13921,,,232022
232325,422162,Heart of Darkness and The Secret Sharer,1:1159,160,4:4896,total:16245,1,12,Signet Classics,3,1950,en-US,Joseph Conrad,3.5,2:2003,5:3764,0451520726,3:4423,,,232325
232561,422664,Assassination Vacation,1:750,258,4:16226,total:39781,29,3,Simon & Schuster,115,2005,eng,Sarah Vowell,3.97,2:1936,5:12817,0743260031,3:8052,,,232561
232857,423211,Maniac Magee,1:2878,192,4:36379,total:114387,1,11,"Little, Brown Books for Young Readers",354,1990,eng,Jerry Spinelli,3.88,2:8235,5:39177,0316809063,3:27718,,,232857
233130,423709,The Chili Queen,1:44,304,4:1157,total:2936,10,9,St. Martin's Griffin,363,2003,en-US,Sandra Dallas,3.68,2:208,5:573,0312320264,3:954,,,233130
233140,423734,War Brides,1:26,368,4:421,total:1264,1,12,Penguin Books,103,1998,eng,Lois Battle,3.59,2:114,5:246,0140276432,3:457,,,233140
233282,424019,Quidditch Through the Ages,1:1783,56,4:41302,total:134250,11,3,Bloomsbury Publishing,92,2001,eng,Kennilworthy Whisp,3.86,2:9870,5:43579,0747554714,3:37716,,,233282
233444,424320,The Position,1:126,307,4:1355,total:4095,1,3,Scribner Book Company,33,2005,,Meg Wolitzer,3.33,2:583,5:424,074326178X,3:1607,,,233444
233731,424871,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",1:14048,4,4:243765,total:746733,1,9,Brilliance Audio,0,2000,,Mitch Albom,4.11,2:36159,5:324045,1587880490,3:128716,,,233731
233779,424954,"And Eternity (Incarnations of Immortality, #7)",1:291,369,4:3864,total:11828,1,1,William Morrow & Company,4,1990,,Piers Anthony,3.86,2:889,5:3880,0688086888,3:2904,,,233779
233841,425100,"Dance Hall of the Dead (Leaphorn & Chee, #2)",1:44,255,4:4782,total:10542,4,4,HarperPaperbacks,441,1990,eng,Tony Hillerman,4.02,2:230,5:3126,0061000027,3:2360,,,233841
233856,425123,"Gone, Baby, Gone (Kenzie & Gennaro, #4)",1:213,412,4:14397,total:32111,21,4,HarperTorch,1392,1999,eng,Dennis Lehane,4.14,2:728,5:11733,0380730359,3:5040,,,233856
233863,425132,"Darkness, Take My Hand (Kenzie & Gennaro, #2)",1:147,355,4:11277,total:25434,1,12,HarperTorch,58,2000,eng,Dennis Lehane,4.17,2:511,5:9602,0380726289,3:3897,,,233863
233881,425174,"The Godwulf Manuscript (Spenser, #1)",1:195,208,4:6150,total:15315,5,12,Dell,747,2000,eng,Robert B. Parker,3.92,2:659,5:4474,0440129613,3:3837,,,233881
233991,425374,"Miss Wonderful (Carsington Brothers, #1)",1:115,352,4:1913,total:4986,2,3,Berkley Sensation,304,2004,eng,Loretta Chase,3.68,2:392,5:1052,0425194833,3:1514,,,233991
234113,425608,"Weasel's Luck (Dragonlance: Heroes, #3)",1:103,352,4:776,total:3207,1,5,Wizards of the Coast,18,2004,,Michael   Williams,3.55,2:422,5:807,0786931817,3:1099,,,234113
234457,426228,Locked in Time,1:41,224,4:1700,total:4678,1,10,Turtleback Books,5,1986,,Lois Duncan,3.93,2:221,5:1471,0808578375,3:1245,,,234457
234557,426441,Complete Works of William Shakespeare,1:506,910,4:12022,total:50826,1,6,Atlantis,0,1980,eng,William Shakespeare,4.5,2:744,5:32943,0862881463,3:4611,,,234557
234741,426775,Chasing Harry Winston,1:4703,288,4:20024,total:76098,27,5,Simon & Schuster,2447,2008,eng,Lauren Weisberger,3.34,2:11633,5:13425,0743290119,3:26313,,,234741
234755,426825,QB VII,1:158,432,4:10436,total:28117,1,4,Bantam,371,1982,eng,Leon Uris,4.19,2:668,5:11960,055327094X,3:4895,,,234755
235257,427830,The Cat Who Said Cheese (Cat Who... #18),1:27,264,4:2283,total:5976,1,3,Jove Books,188,1997,eng,Lilian Jackson Braun,3.87,2:232,5:1596,0515120278,3:1838,,,235257
235601,428521,The Fall of Constantinople 1453,1:8,270,4:385,total:1123,30,11,Cambridge University Press,77,1990,eng,Steven Runciman,4.3,2:21,5:555,0521398320,3:154,,,235601
235962,429138,"River God (Ancient Egypt, #1)",1:477,664,4:10838,total:32679,15,2,St. Martin's Paperbacks,1143,1995,eng,Wilbur Smith,4.21,2:1131,5:15391,0312954468,3:4842,,,235962
236413,430027,"Brother, I'm Dying",1:42,272,4:2208,total:5419,4,9,Knopf,689,2007,eng,Edwidge Danticat,4.11,2:187,5:2043,1400041155,3:939,,,236413
236469,430148,The Power,1:2,224,4:46,total:132,2,3,Tor Books,17,2000,,Frank M. Robinson,3.75,2:11,5:34,0312866542,3:39,,,236469
236902,430968,Merle's Door: Lessons from a Freethinking Dog,1:313,398,4:5547,total:18219,2,7,Houghton Mifflin Harcourt,1575,2007,eng,Ted Kerasote,4.2,2:738,5:8867,0151012709,3:2754,,,236902
236939,431042,Wild Strawberries,1:0,78,4:12,total:26,27,7,British Film Institute,2,1995,,Philip French,4.0,2:2,5:8,0851704816,3:4,,,236939
236996,431136,Jamberry,1:248,32,4:4777,total:17967,1,5,HarperCollins Publishers,0,1992,,Bruce Degen,4.19,2:787,5:8902,0064433110,3:3253,,,236996
237111,431330,The Marriage Game,1:93,290,4:551,total:1853,17,4,Pocket Books,148,2007,eng,Fern Michaels,3.65,2:178,5:512,0743477456,3:519,,,237111
237113,431332,The Guest List,1:46,400,4:633,total:2102,27,9,Zebra,83,2002,,Fern Michaels,4.02,2:121,5:865,0821776029,3:437,,,237113
237203,431507,Art Forms in Nature,1:280,112,4:1695,total:7236,1,6,Dover Publications,14,1974,,Ernst Haeckel,4.1,2:430,5:3643,0486229874,3:1188,,,237203
237280,431644,Smoke,1:8,439,4:164,total:439,1,10,Mysterious Press,46,1996,,Donald E. Westlake,3.75,2:30,5:105,044640344X,3:132,,,237280
237344,431745,Stay with Me,1:71,308,4:273,total:987,24,4,HMH Books for Young Readers,115,2006,,"Garret Weyr, also Freymann-Weyr",3.48,2:129,5:236,0618605711,3:278,,,237344
237668,432341,A Good Man Is Hard to Find and Other Stories,1:490,252,4:12696,total:37620,23,8,Mariner Books,327,1977,eng,Flannery O'Connor,4.22,2:1334,5:17720,0156364654,3:5380,,,237668
237675,432352,Extremely Loud and Incredibly Close,1:9995,356,4:127352,total:371104,4,4,Houghton Mifflin Company,388,2005,en-US,Jonathan Safran Foer,3.98,2:23496,5:139325,0618329706,3:70936,,,237675
237681,432366,Eleven Minutes,1:5380,192,4:47765,total:143065,24,9,Harper Collins Australia,59,2003,eng,Paulo Coelho,3.7,2:13516,5:38085,0732278775,3:38319,,,237681
237769,432534,"Same Kind Of Different As Me: a modern-day slave, an international art dealer, and the unlikely woman who bound them together",1:915,256,4:24187,total:75567,9,3,Thomas Nelson,307,2008,eng,Ron Hall,4.23,2:2889,5:36758,084991910X,3:10818,,,237769
238066,433035,"Sad Cypress (Hercule Poirot, #22)",1:120,336,4:9257,total:22081,1,9,HarperCollins Publishers,776,2001,eng,Agatha Christie,3.88,2:849,5:5616,0007120710,3:6239,,,238066
238071,433048,"The Moving Finger (Miss Marple, #4)",1:167,208,4:10887,total:26685,31,3,Black Dog & Leventhal Publishers,91,2007,,Agatha Christie,3.85,2:1146,5:6676,1579126944,3:7809,,,238071
238080,433075,"Here Be Dragons (Welsh Princes, #1)",1:249,803,4:6747,total:20502,5,9,Penguin,28,1991,eng,Sharon Kay Penman,4.3,2:512,5:10476,0140133402,3:2518,,,238080
238253,433428,Turning Back the Clock: Hot Wars and Media Populism,1:7,384,4:302,total:719,12,11,Houghton Mifflin Harcourt,37,2007,,Umberto Eco,3.74,2:35,5:140,0151013519,3:235,,,238253
238257,433435,ÚÙÙ Ø³Ø§ÙÚ¯Û,1:64,90,4:105,total:558,21,8,ÙØ´Ø± ÚØ´ÙÙ,73,2010,per,ÙØ§ÙÛØ¯ Ø·Ø¨Ø§Ø·Ø¨Ø§ÛÛ,2.91,2:136,5:54,,3:199,,,238257
238452,433813,White,1:8,462,4:62,total:191,1,6,Warner Books (NY),7,2006,,Christopher Whitcomb,3.53,2:18,5:37,0446617547,3:66,,,238452
238701,434280,Maybe This Time,1:0,338,4:33,total:82,1,6,Pocket Books,7,1990,,Kathleen Gilles Seidel,4.0,2:7,5:28,0671662163,3:14,,,238701
239106,435045,"Wicked Deeds on a Winter's Night (Immortals After Dark, #3)",1:289,359,4:15115,total:47542,30,10,Pocket Star,1282,2007,eng,Kresley Cole,4.37,2:902,5:25675,1416547037,3:5561,,,239106
239209,435256,A Spot of Bother,1:958,594,4:11628,total:32091,1,12,Thorndike Press,3,2006,,Mark Haddon,3.48,2:3552,5:4566,0786291230,3:11387,,,239209
239605,435973,Cell,1:6689,448,4:57215,total:185261,5,6,Debolsillo,67,2007,spa,Stephen King,3.65,2:19453,5:48193,0307391337,3:53711,,,239605
239916,436548,Ravished,1:25,409,4:269,total:799,5,11,Signet,24,2002,en-GB,Virginia Henley,3.82,2:51,5:242,0451207378,3:212,,,239916
240337,437382,"The Sandman, Vol. 9: The Kindly Ones (The Sandman, #9)",1:101,352,4:10442,total:41506,1,9,Vertigo,158,1996,eng,Neil Gaiman,4.59,2:326,5:28121,1563892057,3:2516,,,240337
240581,437804,Heart of Gold,1:37,352,4:617,total:1707,1,4,Ace,82,2001,eng,Sharon Shinn,3.6,2:166,5:321,0441008216,3:566,,,240581
240844,438272,The Fixer Upper,1:2,384,4:12,total:59,12,7,MIRA,4,2005,,Judith Arnold,3.46,2:7,5:13,0778321932,3:25,,,240844
240919,438411,Green Mansions,1:78,233,4:899,total:2680,1,7,Amereon Limited,1,1999,,W.H. Hudson,3.74,2:238,5:740,0848821467,3:725,,,240919
241146,438862,Seasons,1:0,32,4:1,total:2,1,9,Compass Point Books,0,2000,,Patricia Ryon Quiri,4.5,2:0,5:1,0756500346,3:0,,,241146
241215,438983,Missing You,1:0,327,4:8,total:33,1,3,Five Star (ME),0,2002,,Pauline Baird Jones,4.24,2:1,5:17,0786237481,3:7,,,241215
241661,439867,Ø¯ÙØªÙÚ¯ÛâÙØ§Û ÙÙØ§Ø´ Ø®ÛØ§Ø¨Ø§Ù ÚÙÙ Ù ÙØ´ØªÙ,1:1538,263,4:45730,total:129140,25,1,Ø§ÙØªØ´Ø§Ø±Ø§Øª ÙÙÙÙØ³,105,1999,per,J.D. Salinger,4.19,2:3975,5:57455,9643111563,3:20442,,,241661
241751,440009,Ø³ÙÙØ·,1:919,167,4:25873,total:67528,13,8,Ø§ÙØªØ´Ø§Ø±Ø§Øª ÙÛÙÙÙØ±,157,2007,per,Albert Camus,4.04,2:3008,5:24539,9644480562,3:13189,,,241751
242026,440562,Primary Colors: A Novel of Politics,1:84,384,4:2007,total:5266,22,10,Vintage,2,1998,eng,Anonymous,3.61,2:414,5:890,0099752611,3:1871,,,242026
242398,441272,The Antichrist,1:411,111,4:7240,total:19850,1,11,Prometheus Books,17,2000,eng,Friedrich Nietzsche,3.92,2:1201,5:6539,1573928321,3:4459,,,242398
242679,441845,The House of Mondavi: The Rise and Fall of an American Wine Dynasty,1:31,452,4:627,total:1530,1,7,Gotham Books,223,2007,,Julia Flynn Siler,3.65,2:116,5:275,1592402593,3:481,,,242679
242685,441857,The Eleventh Plague,1:26,528,4:285,total:816,9,12,Avon,40,1999,,John S. Marr,3.78,2:48,5:226,0061097632,3:231,,,242685
243335,443149,The Varieties of Scientific Experience: A Personal View of the Search for God,1:158,284,4:2893,total:9144,1,11,Penguin Books,58,2007,en-US,Carl Sagan,4.27,2:272,5:4652,0143112627,3:1169,,,243335
243419,443291,The Murder Room (Adam Dalgliesh #12),1:110,432,4:4408,total:10240,9,11,Vintage,511,2004,eng,P.D. James,3.83,2:465,5:2366,1400076099,3:2891,,,243419
243532,443540,All He Ever Wanted,1:783,372,4:3586,total:13709,1,12,Little Brown and Company,884,2005,eng,Anita Shreve,3.2,2:2249,5:1462,0316010367,3:5629,,,243532
243599,443658,"Howliday Inn (Bunnicula, #2)",1:221,195,4:4140,total:12639,1,8,Atheneum Books for Young Readers,320,2006,eng,James Howe,3.96,2:589,5:4486,,3:3203,,,243599
243914,444304,"The Field Guide (The Spiderwick Chronicles, #1)",1:1420,114,4:24744,total:75350,1,5,Simon  Schuster Books for Young Readers,2808,2003,eng,Tony DiTerlizzi,3.9,2:4394,5:25179,0689859368,3:19613,,,243914
243931,444347,"Chasing Vermeer (Chasing Vermeer, #1)",1:879,254,4:9091,total:26881,1,6,Scholastic Press,2040,2004,eng,Blue Balliett,3.72,2:2426,5:7236,0439372941,3:7249,,,243931
244257,444982,Milk and Honey,1:1,185,4:21,total:58,31,12,Persea Books,0,1986,,Elizabeth Jolley,3.36,2:10,5:6,089255102X,3:20,,,244257
244581,445593,"Booked To Die (Cliff Janeway, #1)",1:65,394,4:2909,total:6405,1,1,Pocket Star,508,2001,eng,John Dunning,3.93,2:252,5:1728,0743410653,3:1451,,,244581
244583,445595,The Women,1:0,128,4:3,total:15,9,1,Artisan,0,1994,,Bill Dobbins,4.07,2:3,5:8,1885183011,3:1,,,244583
244761,445903,Noir,1:0,96,4:1,total:2,9,5,Bloomsbury Methuen Drama,0,2002,,Peter Straughan,4.5,2:0,5:1,0413772713,3:0,,,244761
245062,446542,Molloy,1:169,241,4:2090,total:6075,12,1,Grove Press,342,1994,eng,Samuel Beckett,4.06,2:316,5:2497,0802151361,3:1003,,,245062
245599,447629,Three Wishes,1:64,304,4:1007,total:3101,1,1,Pocket Books,202,2003,,Barbara Delinsky,3.78,2:226,5:877,0743467094,3:927,,,245599
245840,448135,The Coldest Winter: America and the Korean War,1:68,734,4:2550,total:6718,25,9,Hyperion,628,2007,eng,David Halberstam,4.22,2:166,5:2968,1401300529,3:966,,,245840
247176,450537,The Hothouse,1:5,176,4:135,total:352,10,2,Grove Press,24,1999,,Harold Pinter,3.73,2:27,5:80,0802136435,3:105,,,247176
247560,451220,Lessons from a Dead Girl,1:210,215,4:2068,total:6962,9,10,Candlewick,526,2007,eng,Jo Knowles,3.83,2:566,5:2364,0763632791,3:1754,,,247560
247733,451519,Lying Awake,1:0,272,4:2,total:4,1,4,Canongate UK,0,1997,,Catherine Carswell,4.0,2:0,5:1,0862416833,3:1,,,247733
248169,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",1:16414,294,4:200787,total:606679,11,9,Delacorte Press,6078,2001,eng,Ann Brashares,3.79,2:45342,5:178283,0385729332,3:165853,,,248169
248207,452405,"So Long, and Thanks for All the Fish",1:820,204,4:50051,total:138382,1,11,Pocket Books,30,1985,eng,Douglas Adams,4.09,2:5448,5:54255,0671525808,3:27808,,,248207
249976,455925,"Running Blind (Jack Reacher, #4)",1:593,512,4:32952,total:77240,1,7,Jove,2223,2001,eng,Lee Child,4.09,2:2235,5:27446,0515130974,3:14014,,,249976
250354,456670,Gossip,1:5,352,4:49,total:159,1,4,Plume,10,1998,eng,Christopher Bram,3.52,2:18,5:31,0452273382,3:56,,,250354
250355,456671,Hold Tight,1:7,288,4:107,total:314,1,6,Plume,28,1989,eng,Christopher Bram,3.82,2:21,5:92,0452262267,3:87,,,250355
250478,456967,Nobody's Boy,1:1,217,4:5,total:22,25,2,Review & Herald Publishing,4,2004,,Grover Wilcox,3.59,2:4,5:7,0828018170,3:5,,,250478
250561,457125,A Problem from Hell: America and the Age of Genocide,1:130,610,4:3039,total:8802,20,2,Basic Books,11,2002,eng,Samantha Power,4.23,2:317,5:4176,0465061508,3:1140,,,250561
250633,457228,Butcher's Crossing,1:81,274,4:5493,total:12383,16,1,NYRB Classics,810,2007,eng,John  Williams,4.12,2:356,5:4464,1590171985,3:1989,,,250633
251231,458341,"Courtney Crumrin and the Night Things (Courtney Crumrin, #1)",1:72,128,4:1699,total:4690,21,9,Oni Press,282,2003,eng,Ted Naifeh,4.06,2:182,5:1792,1929998600,3:945,,,251231
251619,459064,"Reaper's Gale (Malazan Book of the Fallen, #7)",1:126,928,4:9001,total:25665,7,5,Bantam Press,470,2007,eng,Steven Erikson,4.37,2:407,5:13423,0593046315,3:2708,,,251619
251744,459340,Then She Found Me,1:82,307,4:1155,total:3363,1,1,Pocket Books,2,1990,,Elinor Lipman,3.44,2:387,5:445,0671686143,3:1294,,,251744
251924,459695,No One Here Gets Out Alive,1:664,396,4:12998,total:36341,1,9,Grand Central Publishing,22,1995,eng,Jerry Hopkins,3.94,2:1892,5:12114,0446602280,3:8673,,,251924
252456,460717,The Dogs of War,1:142,400,4:7609,total:19046,1,9,Bantam,263,1982,,Frederick Forsyth,3.98,2:749,5:6029,0553268465,3:4517,,,252456
252560,460920,The Dog of the South,1:89,245,4:1536,total:4195,1,7,Random House Publishing Group,6,1985,eng,Charles Portis,3.82,2:343,5:1204,0553341693,3:1023,,,252560
252763,461298,The Apartment,1:2,166,4:60,total:197,3,8,Faber  Faber,9,1998,,Billy Wilder,4.26,2:7,5:100,0571194095,3:28,,,252763
253031,461747,Morning Glory,1:124,0,4:3598,total:11463,4,8,Random House Value Publishing,0,1991,,LaVyrle Spencer,4.25,2:321,5:5675,0517074265,3:1745,,,253031
253191,462033,"Maisie Dobbs (Maisie Dobbs, #1)",1:1433,309,4:31576,total:77471,25,5,Penguin,6514,2004,en-US,Jacqueline Winspear,3.91,2:3788,5:22981,0142004332,3:17693,,,253191
254324,464260,The Fire Next Time,1:228,106,4:11032,total:39428,1,2,Vintage,2640,1993,eng,James Baldwin,4.5,2:531,5:24601,067974472X,3:3036,,,254324
254325,464261,Spring Snow,1:101,389,4:4363,total:11447,14,4,Vintage,77,1990,eng,Yukio Mishima,4.15,2:394,5:4699,0679722416,3:1890,,,254325
254739,465162,"Life, the Universe and Everything (Hitchhiker's Guide, #3)",1:926,227,4:67456,total:189010,1,1,Pocket Books,14,1991,eng,Douglas Adams,4.2,2:5048,5:83085,0671739670,3:32495,,,254739
254771,465226,"The Redbreast (Harry Hole, #3)",1:1672,519,4:35008,total:82254,2,11,Harvill Secker,2544,2009,eng,Jo NesbÃ¸,3.93,2:3868,5:24195,184343217X,3:17511,,,254771
254827,465365,Confessions of an Economic Hit Man,1:761,250,4:12184,total:31710,2,2,Ebury Press,65,2006,en-GB,John Perkins,3.86,2:2134,5:9305,0091909104,3:7326,,,254827
255268,466269,America (The Book): A Citizen's Guide to Democracy Inaction,1:1461,0,4:33870,total:87374,1,9,Hachette Audio,44,2004,eng,Jon   Stewart,4.02,2:3469,5:30690,1586217011,3:17884,,,255268
255561,466946,Zelda,1:0,408,4:3,total:4,1,3,Spinifex Press,2,1995,eng,Zelda D'Aprano,4.25,2:0,5:1,1875559302,3:0,,,255561
256147,468070,"Nigella Express: Good Food, Fast",1:845,400,4:8003,total:24658,1,11,Hachette Books,233,2007,eng,Nigella Lawson,3.94,2:1448,5:9139,1401322433,3:5223,,,256147
256377,468549,The Locals,1:1,274,4:16,total:41,3,10,Hancock House Publishers,10,2003,,Thom Powell,4.12,2:2,5:17,0888395523,3:5,,,256377
256800,469571,"All the Pretty Horses (The Border Trilogy, #1)",1:1743,302,4:36279,total:90756,29,6,Vintage,5165,1993,eng,Cormac McCarthy,3.99,2:4572,5:30869,0679744398,3:17293,,,256800
256808,469589,The Borrowers,1:1,48,4:6,total:23,11,3,Pearson Education,1,1999,eng,Sherwood Smith,3.35,2:8,5:6,0582363993,3:2,,,256808
257031,470016,Are You Experienced?,1:106,256,4:1234,total:3608,1,7,Penguin Books,148,1999,eng,William Sutcliffe,3.56,2:388,5:695,0140283587,3:1185,,,257031
257345,470597,Before You Know Kindness,1:327,431,4:3739,total:10565,5,10,Shaye Areheart Books,32,2004,,Chris Bohjalian,3.47,2:1219,5:1537,1400047455,3:3743,,,257345
